"title_tr","slug","from_main","reason"
"Araba Fotograf Cekimi","service-araba-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Bento Pasta","service-bento-pasta","catering-hizmetleri","no_strict_bucket_match"
"Butik Pasta","service-butik-pasta","catering-hizmetleri","no_strict_bucket_match"
"Dogum Gunu Fotografcisi","service-dogum-gunu-fotografcisi","dugun-fotografcilari-video","no_strict_bucket_match"
"Dogum Gunu Pastasi","service-dogum-gunu-pastasi","catering-hizmetleri","no_strict_bucket_match"
"Ev Yapimi Pasta","service-ev-yapimi-pasta","catering-hizmetleri","no_strict_bucket_match"
"Fotograf Baski","service-fotograf-baski","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Birlestirme","service-fotograf-birlestirme","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Buyutme","service-fotograf-buyutme","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Cercevesi Yapimi","service-fotograf-cercevesi-yapimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Cikartma","service-fotograf-cikartma","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Duzenleme","service-fotograf-duzenleme","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Editoru","service-fotograf-editoru","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Makinesi Kiralama","service-fotograf-makinesi-kiralama","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotograf Restorasyonu","service-fotograf-restorasyonu","dugun-fotografcilari-video","no_strict_bucket_match"
"Fotografci","service-fotografci","dugun-fotografcilari-video","no_strict_bucket_match"
"Glutensiz Pasta","service-glutensiz-pasta","catering-hizmetleri","no_strict_bucket_match"
"Hamile Fotograf Cekimi","service-hamile-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Havadan Drone Fotograf Ve Video Cekimi","service-havadan-drone-fotograf-ve-video-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Kisisel Fotograf Cekimi","service-kisisel-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Kuru Pasta","service-kuru-pasta","catering-hizmetleri","no_strict_bucket_match"
"Maket Pasta","service-maket-pasta","catering-hizmetleri","no_strict_bucket_match"
"Nikah Fotografcisi","service-nikah-fotografcisi","dugun-fotografcilari-video","no_strict_bucket_match"
"Otel Fotograf Cekimi","service-otel-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Ozel Pasta Siparisi","service-ozel-pasta-siparisi","catering-hizmetleri","no_strict_bucket_match"
"Pasta","service-pasta","catering-hizmetleri","no_strict_bucket_match"
"Resimli Pasta","service-resimli-pasta","catering-hizmetleri","no_strict_bucket_match"
"Seker Hamuru Pasta","service-seker-hamuru-pasta","catering-hizmetleri","no_strict_bucket_match"
"Spor Fotografcisi","service-spor-fotografcisi","dugun-fotografcilari-video","no_strict_bucket_match"
"Studyo Fotograf Cekimi","service-studyo-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Taki Fotograf Cekimi","service-taki-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Vesikalik Fotograf Cekimi","service-vesikalik-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Cekimi","service-video-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Duzenleme","service-video-duzenleme","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Editoru","service-video-editoru","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Intro Yapimi","service-video-intro-yapimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Kalite Arttirma","service-video-kalite-arttirma","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Kaset Aktarma","service-video-kaset-aktarma","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Kurgu","service-video-kurgu","dugun-fotografcilari-video","no_strict_bucket_match"
"Video Produksiyon","service-video-produksiyon","dugun-fotografcilari-video","no_strict_bucket_match"
"Yapay Cicek Dekorasyon","service-yapay-cicek-dekorasyon","cicekciler","no_strict_bucket_match"
"Yas Pasta","service-yas-pasta","catering-hizmetleri","no_strict_bucket_match"
"Yenidogan Fotograf Cekimi","service-yenidogan-fotograf-cekimi","dugun-fotografcilari-video","no_strict_bucket_match"
"Aile Fotografcisi","service-aile-fotografcisi","dugun-fotografcilari-video","strict_drop_regex"
"Airbnb Fotografcisi","service-airbnb-fotografcisi","dugun-fotografcilari-video","strict_drop_regex"
"Bebek Fotograf Cekimi","service-bebek-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Bebek Fotografcisi","service-bebek-fotografcisi","dugun-fotografcilari-video","strict_drop_regex"
"Biyometrik Fotograf Cekimi","service-biyometrik-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Butik Pasta Egitimi","service-butik-pasta-egitimi","catering-hizmetleri","strict_drop_regex"
"Cicek Bakimi","service-cicek-bakimi","cicekciler","strict_drop_regex"
"Cocuk Fotograf Cekimi","service-cocuk-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Cocuk Kuaforu","service-cocuk-kuaforu","gelin-saci-ve-makyaji","strict_drop_regex"
"Dj Dersi","service-dj-dersi","muzik","strict_drop_regex"
"Dj Egitimi","service-dj-egitimi","muzik","strict_drop_regex"
"Dogum Fotografcisi","service-dogum-fotografcisi","dugun-fotografcilari-video","strict_drop_regex"
"E Ticaret Fotograf Cekimi","service-e-ticaret-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Emlak Drone Cekimi","service-emlak-drone-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Emlak Fotografcisi","service-emlak-fotografcisi","dugun-fotografcilari-video","strict_drop_regex"
"Emlak Video Cekimi","service-emlak-video-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Fotografcilik Dersi","service-fotografcilik-dersi","dugun-fotografcilari-video","strict_drop_regex"
"Instagram Icin Fotograf Cekimi","service-instagram-icin-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Makyaj Egitimi","service-makyaj-egitimi","gelin-saci-ve-makyaji","strict_drop_regex"
"Mezar Ciceklendirme","service-mezar-ciceklendirme","cicekciler","strict_drop_regex"
"Mezuniyet Fotograf Cekimi","service-mezuniyet-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Muzik Produksiyon Egitimi","service-muzik-produksiyon-egitimi","muzik","strict_drop_regex"
"Okul Oncesi Muzik Egitimi","service-okul-oncesi-muzik-egitimi","muzik","strict_drop_regex"
"Oto Kuafor","service-oto-kuafor","gelin-saci-ve-makyaji","strict_drop_regex"
"Oto Mekanik","service-oto-mekanik","dugun-mekanlari","strict_drop_regex"
"Pasta Cila","service-pasta-cila","catering-hizmetleri","strict_drop_regex"
"Sosyal Medya Icin Fotograf Cekimi","service-sosyal-medya-icin-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Sosyal Medya Video Cekimi","service-sosyal-medya-video-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Sunnet Fotograf Cekimi","service-sunnet-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Sunnet Mekanlari","service-sunnet-mekanlari","dugun-mekanlari","strict_drop_regex"
"Temel Muzik Egitimi","service-temel-muzik-egitimi","muzik","strict_drop_regex"
"Urun Fotograf Cekimi","service-urun-fotograf-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Urun Video Cekimi","service-urun-video-cekimi","dugun-fotografcilari-video","strict_drop_regex"
"Video Editorlugu Egitimi","service-video-editorlugu-egitimi","dugun-fotografcilari-video","strict_drop_regex"
"Video Kurgu Egitimi","service-video-kurgu-egitimi","dugun-fotografcilari-video","strict_drop_regex"
"Video Reklam","service-video-reklam","dugun-fotografcilari-video","strict_drop_regex"
"Yerinde Pasta Cila","service-yerinde-pasta-cila","catering-hizmetleri","strict_drop_regex"
"Youtube Video Cekimi","service-youtube-video-cekimi","dugun-fotografcilari-video","strict_drop_regex"
