"slug","title_tr","top_category_slug","confidence","decision","suggested_main","reason"
"service-bahce-bakimi","Bahce Bakimi","service-health-care","medium","out","","exclude_rule"
"service-havuz-mekanik-tesisat","Havuz Mekanik Tesisat","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-bahce-mobilyasi-tamiri","Bahce Mobilyasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-aydinlatma-tamiri","Led Aydinlatma Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-makyaj-masasi-montaji","Makyaj Masasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-mekanik-tesisat-proje-cizimi","Mekanik Tesisat Proje Cizimi","service-design-software-marketing","high","out","","exclude_rule"
"service-serit-led-montaji","Serit Led Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-led-avize-montaji","Led Avize Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-video-montaj","Video Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-bisiklet-tamiri","Bisiklet Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-koltuk-mekanizmasi-tamiri","Koltuk Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-elektrikli-bisiklet-tamiri","Elektrikli Bisiklet Tamiri","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-led-tabela-tamiri","Led Tabela Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-cift-acilim-pencere-mekanizmasi-tamiri","Cift Acilim Pencere Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-elektrikli-bisiklet-batarya-tamiri","Elektrikli Bisiklet Batarya Tamiri","service-plumbing-electric-hvac","high","out","","exclude_rule"
"service-led-avize-tamiri","Led Avize Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-mekanik-tesisat","Mekanik Tesisat","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-ses-sistemi-tamiri","Ses Sistemi Tamiri","service-photo-video-media","medium","out","","exclude_rule"
"service-stor-perde-mekanizmasi-tamiri","Stor Perde Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-surgulu-dolap-mekanizmasi-tamiri","Surgulu Dolap Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-fotograf-makinesi-tamiri","Fotograf Makinesi Tamiri","service-photo-video-media","medium","out","","exclude_rule"
"service-drone-tamiri","Drone Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-oto-ses-sistemi-montaj","Oto Ses Sistemi Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-akiskanlar-mekanigi-ozel-ders","Akiskanlar Mekanigi Ozel Ders","service-education-lessons","medium","out","","exclude_rule"
"service-bahce-semsiyesi-tamiri","Bahce Semsiyesi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-hastane-odasi-susleme","Hastane Odasi Susleme","service-other","low","out","","exclude_rule"
"service-led-ekran-tamiri","Led Ekran Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-stop-tamiri","Led Stop Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-ses-sistemi-montaj","Ses Sistemi Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-video-montaj-egitimi","Video Montaj Egitimi","service-photo-video-media","high","out","","exclude_rule"
"service-basincli-yikama-makinasi-tamiri","Basincli Yikama Makinasi Tamiri","service-events-organization","medium","out","","exclude_rule"
"service-hastane-odasi-balon-susleme","Hastane Odasi Balon Susleme","service-events-organization","medium","out","","exclude_rule"
"service-muzik-teorisi-ozel-ders","Muzik Teorisi Ozel Ders","service-education-lessons","medium","out","","exclude_rule"
"service-overlok-makinasi-tamiri","Overlok Makinasi Tamiri","service-events-organization","medium","out","","exclude_rule"
"service-oyun-videosu-montajlama","Oyun Videosu Montajlama","service-photo-video-media","high","out","","exclude_rule"
